file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\Parking_Lot\RandomInfo.java,RandomInfo,class,0,1,1,0,9,1,0,7,14,0.80952376,0.2777778,0.2777778,9,0,9,0,0,0,9,0,0,0,7,0,0,0,0,7,0,0,6,50,9,0,0,0,3,48,6,21,5,21,0,0,0,0,34,1,0
C:\projects\Parking_Lot\Payment.java,Payment,class,0,1,1,0,7,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,18,1,0,0,0,1,0,12,7,2,3,1,0,0,0,6,1,0
C:\projects\Parking_Lot\ParkingSpot.java,ParkingSpot,class,1,2,1,1,10,1,0,2,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,36,3,3,3,0,0,2,17,9,4,6,2,0,0,0,12,1,0
C:\projects\Parking_Lot\ParkingLot.java,ParkingLot,class,7,7,0,7,11,1,0,43,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,84,0,3,7,0,0,34,11,30,5,30,5,0,0,0,67,1,0
C:\projects\Parking_Lot\Car.java,Car,class,0,2,2,0,6,1,0,0,9,0.6666667,0.2,0.2,6,0,6,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,7,1,0
C:\projects\Parking_Lot\TotalTime.java,TotalTime,class,1,2,1,1,52,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,241,5,0,28,0,23,18,316,111,77,34,4,0,0,0,22,1,0
C:\projects\Parking_Lot\ParkingTicket.java,ParkingTicket,class,1,2,1,1,12,1,0,0,54,0.8333333,0.08888889,0.08888889,12,0,10,2,0,0,10,0,0,0,6,0,5,1,0,0,0,0,0,44,6,0,0,0,0,0,0,6,0,6,0,0,0,0,14,1,0
C:\projects\Parking_Lot\ScanTicket.java,ScanTicket,class,0,1,1,0,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,1,0,0,0,3,2,0,2,1,0,0,0,6,1,0
