file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getBusByBusId/1[java.lang.Integer],false,53,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getSchedules/1[java.lang.Integer],false,63,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"addNewBus/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",false,27,8,2,0,2,2,2,5,2,1,2,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,8,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"updateBusInfo/2[com.transport.university.universitytransportsystem.model.Bus,com.transport.university.universitytransportsystem.controller.BindingResult]",false,34,9,3,0,3,3,4,6,3,1,2,4,0,0,0,2,0,0,2,0,1,0,1,0,0,0,8,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,getAllBuses/0,false,48,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,deleteBusByBusId/1[java.lang.Integer],false,42,4,1,0,1,1,1,4,1,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,8,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\BusController.java,com.transport.university.universitytransportsystem.controller.BusController,"markBusAsFinishedTrip/2[java.lang.Integer,java.lang.Integer]",false,76,4,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\UserServices.java,com.transport.university.universitytransportsystem.service.UserServices,getUserByUserId/1[java.lang.Integer],false,22,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\UserServices.java,com.transport.university.universitytransportsystem.service.UserServices,unblockUser/1[java.lang.Integer],false,35,1,0,0,0,2,4,8,2,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\UserServices.java,com.transport.university.universitytransportsystem.service.UserServices,isValidUser/1[java.lang.Integer],false,16,1,0,0,0,4,3,5,2,1,1,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0,8,1,0,false
