file,class,method,variable,usage
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,printInvoice/0,sourceFile,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,documentDate,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,rs,6
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,ex,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,pName,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,query,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,pstmt,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setUomAndPrice/0,stmt,0
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchCustomer/0,rs,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchCustomer/0,searchText,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchCustomer/0,ex,0
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchCustomer/0,query,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchCustomer/0,pstmt,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchCustomer/0,filteredAutoCompletions,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,searchCustomer/0,stmt,0
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,documentDate,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,rs,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,packSize,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,unitName,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,salePrice,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,query,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,pstmt1,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,rs1,5
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,pricePerStandardUnit,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,uom,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,ex,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,price,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,pCode,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,pstmt,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,query1,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,setPrice/0,stmt,0
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,save/0,documentDate,0
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,save/0,posDetailsQuery,3
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,save/0,owner,1
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,save/0,rs1,2
C:\projects\store-pos\src\controller\AddSalesReturnController.java,controller.AddSalesReturnController,save/0,rs,0
