file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\SpreadsheetFormatterTestCase.java,walkingkooka.spreadsheet.format.SpreadsheetFormatterTestCase,class,3,7,4,3,2,1,0,0,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1025,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterNegativeSign.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterNegativeSign,enum,1,5,4,1,4,1,0,0,3,0.0,0.0,0.0,3,1,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,1,0,0,0,0,2,0,0,35,0,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\parser\SpreadsheetParsersTest.java,walkingkooka.spreadsheet.parser.SpreadsheetParsersTest$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\pattern\SpreadsheetNumberParsePatternsTestCase2.java,walkingkooka.spreadsheet.format.pattern.SpreadsheetNumberParsePatternsTestCase2,class,3,9,6,3,2,2,0,1,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1025,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\parser\SpreadsheetFormatCurrencyParserTokenTest.java,walkingkooka.spreadsheet.format.parser.SpreadsheetFormatCurrencyParserTokenTest$Anonymous1,anonymous,4,4,0,4,5,1,0,2,10,0.0,0.0,0.0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,5,0,0,0,0,0,0,0,0,13,-1,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\parser\SpreadsheetFunctionNameParserTokenTest.java,walkingkooka.spreadsheet.parser.SpreadsheetFunctionNameParserTokenTest$Anonymous1,anonymous,4,4,0,4,5,1,0,2,10,0.0,0.0,0.0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,5,0,0,0,0,0,0,0,0,13,-1,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\parser\SpreadsheetParsersTest.java,walkingkooka.spreadsheet.parser.SpreadsheetParsersTest$Anonymous4,anonymous,1,1,0,1,18,1,0,16,153,0.0,0.0,0.0,18,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,56,18,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-1,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\engine\SpreadsheetEngineContext.java,walkingkooka.spreadsheet.engine.SpreadsheetEngineContext,interface,10,47,37,10,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\parser\SpreadsheetParsersTest.java,walkingkooka.spreadsheet.parser.SpreadsheetParsersTest$Anonymous2,anonymous,11,11,0,11,14,1,0,17,36,0.0,0.0,0.0,9,0,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,55,11,0,1,0,0,6,2,1,1,9,1,1,0,4,36,-1,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\reference\store\SpreadsheetExpressionReferenceStoreTesting.java,walkingkooka.spreadsheet.reference.store.SpreadsheetExpressionReferenceStoreTesting,interface,11,13,2,11,31,1,0,42,300,0.0,0.0,0.0,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,21,176,1,2,0,0,0,30,0,46,3,54,2,0,0,15,65,1,0
