file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\controllers\PincodeController.java,com.pincodes_api.controllers.PincodeController,class,7,7,0,7,5,1,0,5,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,24,5,0,0,1,0,10,0,2,0,3,1,0,0,0,28,1,0
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\PincodesApiApplication.java,com.pincodes_api.PincodesApiApplication,class,2,3,1,2,1,1,0,1,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\services\PincodeService.java,com.pincodes_api.services.PincodeService,class,4,5,1,4,2,1,0,3,0,0,1,1,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0
C:\projects\Pincodes_API\src\test\java\com\pincodes_api\PincodesApiApplicationTests.java,com.pincodes_api.PincodesApiApplicationTests,class,2,2,0,2,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\repos\Pincode_repo.java,com.pincodes_api.repos.Pincode_repo,interface,1,2,1,1,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\projects\Pincodes_API\src\main\java\com\pincodes_api\db\pincodes.java,com.pincodes_api.db.pincodes,class,4,6,2,4,8,1,0,0,10,0.625,0.32142857,0.75,8,0,8,0,0,0,8,0,0,0,3,0,0,0,0,3,0,0,0,32,3,0,0,0,0,4,0,6,0,3,0,0,0,0,10,1,0
