file,class,method,variable,usage
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setJurisdiction/1[org.dew.fhir.model.CodeableConcept[]],jurisdiction,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,getCopyright/0,copyright,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,getUseContext/0,useContext,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,getWorkflow/0,workflow,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,getIdentifier/0,identifier,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,getContact/0,contact,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,getProcess/0,process,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setContact/1[org.dew.fhir.model.ContactDetail[]],contact,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ExampleScenario.java,org.dew.fhir.model.ExampleScenario,setName/1[java.lang.String],name,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionPropertyGroup.java,org.dew.fhir.model.ChargeItemDefinitionPropertyGroup,setPriceComponent/1[org.dew.fhir.model.ChargeItemDefinitionPriceComponent[]],priceComponent,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionPropertyGroup.java,org.dew.fhir.model.ChargeItemDefinitionPropertyGroup,getApplicability/0,applicability,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionPropertyGroup.java,org.dew.fhir.model.ChargeItemDefinitionPropertyGroup,setApplicability/1[org.dew.fhir.model.ChargeItemDefinitionApplicability[]],applicability,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\ChargeItemDefinitionPropertyGroup.java,org.dew.fhir.model.ChargeItemDefinitionPropertyGroup,getPriceComponent/0,priceComponent,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\InsurancePlanGeneralCost.java,org.dew.fhir.model.InsurancePlanGeneralCost,getType/0,type,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\InsurancePlanGeneralCost.java,org.dew.fhir.model.InsurancePlanGeneralCost,setCost/1[org.dew.fhir.model.Money],cost,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\InsurancePlanGeneralCost.java,org.dew.fhir.model.InsurancePlanGeneralCost,setType/1[org.dew.fhir.model.CodeableConcept],type,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\InsurancePlanGeneralCost.java,org.dew.fhir.model.InsurancePlanGeneralCost,getComment/0,comment,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\InsurancePlanGeneralCost.java,org.dew.fhir.model.InsurancePlanGeneralCost,getGroupSize/0,groupSize,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\InsurancePlanGeneralCost.java,org.dew.fhir.model.InsurancePlanGeneralCost,setComment/1[java.lang.String],comment,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\InsurancePlanGeneralCost.java,org.dew.fhir.model.InsurancePlanGeneralCost,getCost/0,cost,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\InsurancePlanGeneralCost.java,org.dew.fhir.model.InsurancePlanGeneralCost,setGroupSize/1[java.lang.Integer],groupSize,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\TestReportTeardown.java,org.dew.fhir.model.TestReportTeardown,getAction/0,action,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\TestReportTeardown.java,org.dew.fhir.model.TestReportTeardown,setAction/1[org.dew.fhir.model.TestReportAction2[]],action,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,setOutcomeReference/1[org.dew.fhir.model.Reference<org.dew.fhir.model.Resource>[]],outcomeReference,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,setDetail/1[org.dew.fhir.model.CarePlanActivityDetail],detail,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,setReference/1[org.dew.fhir.model.Reference<org.dew.fhir.model.Resource>],reference,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,setOutcomeCodeableConcept/1[org.dew.fhir.model.CodeableConcept[]],outcomeCodeableConcept,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,getReference/0,reference,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,getOutcomeCodeableConcept/0,outcomeCodeableConcept,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,getDetail/0,detail,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,getOutcomeReference/0,outcomeReference,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,getProgress/0,progress,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\CarePlanActivity.java,org.dew.fhir.model.CarePlanActivity,setProgress/1[org.dew.fhir.model.Annotation[]],progress,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,setCode/1[org.dew.fhir.model.CodeableConcept],code,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,setPeriod/1[org.dew.fhir.model.Period],period,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,getCode/0,code,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,setIssuer/1[org.dew.fhir.model.Reference<org.dew.fhir.model.Organization>],issuer,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,getPeriod/0,period,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,getIssuer/0,issuer,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,setIdentifier/1[org.dew.fhir.model.Identifier[]],identifier,3
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,getIdentifier/0,identifier,1
C:\projects\wfhir\src\main\java\org\dew\fhir\model\PractitionerQualification.java,org.dew.fhir.model.PractitionerQualification,toString/0,code,1
C:\projects\wfhir\src\main\java\org\dew\fhir\json\JSONObject.java,org.dew.fhir.json.JSONObject,"put/2[java.lang.String,java.lang.Object]",map,1
C:\projects\wfhir\src\main\java\org\dew\fhir\json\JSONObject.java,org.dew.fhir.json.JSONObject,populateMap/1[java.lang.Object],map,1
