file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\string-utils\src\test\java\org\dew\test\TestStringUtils.java,org.dew.test.TestStringUtils,class,7,8,1,7,3,2,0,13,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,56,1,0,0,0,0,49,0,29,11,19,0,0,0,0,37,1,0
C:\projects\string-utils\src\main\java\org\dew\sutil\AES.java,org.dew.sutil.AES,class,1,2,1,1,2,1,0,13,0,0.0,1.0,1.0,2,2,2,0,0,0,2,0,0,0,3,3,0,3,0,0,3,0,6,25,2,0,0,0,0,8,20,15,0,15,0,0,0,0,40,1,0
C:\projects\string-utils\src\main\java\org\dew\sutil\Obfuscator.java,org.dew.sutil.Obfuscator,class,0,1,1,0,14,1,0,4,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,56,4,2,2,0,0,2,18,20,8,14,3,0,0,0,23,1,0
C:\projects\string-utils\src\main\java\org\dew\sutil\SUtil.java,org.dew.sutil.SUtil,class,2,4,2,2,585,1,0,41,559,0.9411765,0.0017825312,0.0017825312,34,34,33,1,0,0,34,0,0,0,1,1,0,0,1,0,0,0,24,1138,92,28,193,0,3,339,254,273,85,179,39,0,0,0,264,1,0
